,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,86.134,0.81,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.80952380952"
1,2,761.027,0.75,1.0,10,"exists <open> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<open>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<open>""), Constant(""start"", ""<start>"")'))),"
2,3,84.523,0.79,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.78947368421"
3,4,132.308,0.77,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.76923076923"
4,5,67.934,0.86,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.86363636363"
5,6,45.476,0.86,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.85714285714"
6,7,51.883,0.69,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0"
7,8,20.956,0.88,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.88235294117"
8,9,43.529,0.69,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.69230769230"
9,10,86.447,0.75,1.0,10,"exists <html> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))),"
