,Runtime,Precision,Recall,Constraint
0,0.253,-1,-1,Avicenna requires at least one passing input!
1,0.232,-1,-1,Avicenna requires at least one passing input!
2,0.239,-1,-1,Avicenna requires at least one passing input!
3,0.383,-1,-1,Avicenna requires at least one passing input!
4,0.264,-1,-1,Avicenna requires at least one passing input!
5,0.258,-1,-1,Avicenna requires at least one passing input!
6,0.377,-1,-1,Avicenna requires at least one passing input!
7,0.234,-1,-1,Avicenna requires at least one passing input!
8,0.231,-1,-1,Avicenna requires at least one passing input!
9,0.371,-1,-1,Avicenna requires at least one passing input!
