Run,Runtime,Precision,Recall,Constraint
0,0.051,-1,-1,Avicenna requires at least one passing input!
1,0.049,-1,-1,Avicenna requires at least one passing input!
2,0.05,-1,-1,Avicenna requires at least one passing input!
3,0.057,-1,-1,Avicenna requires at least one passing input!
4,0.059,-1,-1,Avicenna requires at least one passing input!
5,0.05,-1,-1,Avicenna requires at least one passing input!
6,0.049,-1,-1,Avicenna requires at least one passing input!
7,0.05,-1,-1,Avicenna requires at least one passing input!
8,0.052,-1,-1,Avicenna requires at least one passing input!
9,0.051,-1,-1,Avicenna requires at least one passing input!
