,Runtime,Precision,Recall,Constraint
0,0.053,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.053,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.048,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.049,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.049,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.049,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.048,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.049,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.049,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.048,-1,-1,Avicenna requires at least one failure-inducing input!
